Size,Standard,Hybrid_5,Hybrid_10,Hybrid_15,Hybrid_20,Hybrid_30,Hybrid_50
500,68,25,16,13,11,10,9
600,81,27,18,16,13,12,11
700,94,35,26,18,16,13,11
800,106,44,37,29,28,21,17
900,141,105,36,26,25,20,20
1000,131,46,38,30,22,20,16
1100,150,52,35,33,25,23,20
1200,166,50,34,31,24,22,19
1300,174,55,39,35,29,26,23
1400,188,69,51,35,33,27,21
1500,192,81,54,37,35,28,24
1600,750,88,54,37,36,28,23
1700,348,141,64,46,45,116,42
1800,272,87,56,39,37,30,28
1900,255,94,60,43,41,33,32
2000,256,91,59,52,41,40,31
2100,269,93,63,59,43,41,35
2200,290,95,63,61,45,43,46
2300,298,96,69,67,48,46,39
2400,316,93,63,86,50,68,52
2500,332,100,71,87,52,61,44
2600,357,137,91,81,54,48,60
2700,372,118,86,69,67,51,42
2800,389,134,98,96,73,56,40
2900,370,144,103,78,70,54,43
3000,411,165,105,71,68,53,42
3100,390,165,105,73,71,56,46
3200,413,167,104,72,71,56,45
3300,429,193,124,85,84,63,63
3400,435,185,109,76,74,57,67
3500,455,172,112,82,77,61,60
3600,456,169,133,81,76,58,58
3700,475,175,115,94,82,61,60
3800,532,187,118,81,82,62,59
3900,509,181,115,91,82,72,63
4000,518,176,126,102,81,80,62
4100,533,187,118,152,95,81,64
4200,587,179,117,118,84,83,65
4300,551,188,122,119,86,85,67
4400,579,189,120,127,96,88,68
4500,605,189,122,123,89,88,69
4600,611,183,121,119,88,87,68
4700,609,193,125,125,91,90,71
4800,664,191,124,124,89,88,69
4900,652,230,129,125,93,91,73
5000,685,194,126,124,92,90,89
5100,674,189,127,126,93,101,85
5200,666,202,139,191,112,94,75
5300,736,219,155,133,121,97,77
5400,690,256,221,138,137,96,77
5500,726,245,181,284,141,101,79
5600,862,462,259,168,223,100,79
5700,791,277,344,164,153,103,88
5800,960,299,203,139,139,331,152
5900,805,323,208,148,136,105,82
6000,845,306,201,153,187,116,88
6100,787,349,213,140,139,107,91
6200,788,328,254,162,161,109,98
6300,826,331,210,143,142,116,112
6400,830,358,207,142,140,106,89
6500,871,335,215,170,169,111,105
6600,955,349,209,162,180,120,119
6700,881,341,211,150,147,121,116
6800,891,346,213,145,144,109,111
6900,918,342,214,150,149,115,130
7000,920,375,245,167,167,123,136
7100,977,347,216,168,182,125,125
7200,958,336,226,174,150,115,114
7300,976,382,243,157,155,118,119
7400,1026,387,251,172,172,128,125
7500,1059,370,240,194,163,129,120
7600,1027,394,253,173,173,138,130
7700,978,399,238,162,160,126,122
7800,1093,360,236,205,169,182,141
7900,1027,357,227,191,167,158,140
8000,1041,391,258,237,177,186,135
8100,1043,352,235,218,163,165,137
8200,1083,351,227,225,162,160,158
8300,1119,407,272,272,181,165,128
8400,1076,355,231,229,166,169,128
8500,1132,368,234,234,168,168,130
8600,1271,413,272,234,169,168,130
8700,1113,365,236,234,170,170,134
8800,1212,525,262,245,175,173,181
8900,1317,381,246,335,310,249,153
9000,2294,549,912,764,290,221,182
9100,1519,695,274,301,181,198,172
9200,1528,459,261,249,205,186,141
9300,2574,744,408,301,230,1469,370
9400,1213,407,282,281,195,194,148
9500,1233,386,240,241,174,177,141
9600,1227,373,247,247,179,178,140
9700,1237,383,248,247,181,198,151
9800,1316,379,250,248,182,181,143
9900,1266,382,253,260,188,186,148
10000,1292,378,250,263,182,181,144
